stop_id,stop_name,lon,lat
U765Z2P,"Trojská",14.433117,50.116756
U447Z2P,"Nad Trojou",14.439792,50.120377
U139Z2P,"Hercovka",14.453302,50.121853
U718Z2P,"Březiněveská",14.456717,50.127033
U333Z2P,"Líbeznická",14.455501,50.129101
U864Z2P,"Vozovna Kobylisy",14.454076,50.132740
U866Z1P,"Vozovna Pankrác",14.437892,50.057072
U433Z1P,"Na Veselí",14.441221,50.056240
U2784Z1P,"Kotorská",14.436738,50.054470
U597Z1P,"Pražského povstání",14.434529,50.056541
U530Z1P,"Palouček",14.437600,50.061859
U503Z1P,"Nuselská radnice",14.442379,50.062870
U503Z2P,"Nuselská radnice",14.440803,50.062862
U530Z2P,"Palouček",14.436819,50.061127
U597Z2P,"Pražského povstání",14.434892,50.056072
U2784Z2P,"Kotorská",14.436932,50.054165
U433Z2P,"Na Veselí",14.441419,50.056580
U866Z2P,"Vozovna Pankrác",14.437780,50.056896
U385Z12P,"Pankrác",14.440431,50.050697
U385Z11P,"Pankrác",14.440292,50.050995
U482Z9P,"Náměstí Bratří Synků",14.441423,50.064610
U1071Z10P,"Depo Hostivař",14.516944,50.076370
U554Z1P,"Dědina",14.301905,50.089329
U61Z1P,"Ciolkovského",14.307127,50.087997
U661Z1P,"Sídliště Na Dědině",14.309918,50.089775
U1046Z1P,"Vlastina",14.317360,50.091305
U85Z1P,"Divoká Šárka",14.323610,50.092602
U868Z1P,"Vozovna Vokovice",14.330469,50.092926
U283Z1P,"Nad Džbánem",14.336719,50.093945
U462Z1P,"Nádraží Veleslavín",14.348344,50.095978
U73Z1P,"Červený Vrch",14.352972,50.096840
U943Z1P,"Sídliště Červený Vrch",14.359188,50.097980
U157Z1P,"Bořislavka",14.364550,50.098522
U40Z1P,"Na Pískách",14.369692,50.098957
U130Z1P,"Hadovka",14.375146,50.099422
U757Z1P,"Thákurova",14.387046,50.100105
U321Z1P,"Dejvická",14.391483,50.100330
U337Z12P,"Lihovar",14.410865,50.050255
U337Z13P,"Lihovar",14.410109,50.050282
U321Z2P,"Dejvická",14.390614,50.100372
U757Z2P,"Thákurova",14.385788,50.100109
U130Z2P,"Hadovka",14.375713,50.099552
U40Z2P,"Na Pískách",14.370345,50.099087
U157Z2P,"Bořislavka",14.363780,50.098568
U943Z2P,"Sídliště Červený Vrch",14.359287,50.098068
